timestamp,event_type,details,severity,recommended_action
2025-10-17T17:13:45.992733,anomaly_detected,playback_rate 0.71 below threshold 0.8,warning,pending
2025-10-17T17:13:45.992754,anomaly_detected,low_conf_percent 22.43 above threshold 15,warning,pending
2025-10-17T17:13:45.992764,anomaly_detected,p95_latency 214.64 above threshold 180,warning,pending
2025-10-17T17:13:45.992784,anomaly_detected,cost_per_request 1.49 above threshold 1.3,warning,pending
2025-10-17T17:13:45.992792,anomaly_detected,anchored_percent 64.95 below threshold 70,info,pending
2025-10-17T17:13:45.989100,rollback,回滚到版本 v1.10 - Triggered by: 多指标严重异常,critical,rollback
2025-10-17T17:13:45.989045,mitigation,禁用跨模态处理 - Triggered by: playback_rate 0.71 below 0.8,critical,disable_mm
2025-10-17T17:13:45.989062,mitigation,提高质检严格度 - Triggered by: low_conf_percent 22.43 above 15,warning,raise_qc
2025-10-17T17:13:45.989070,mitigation,降低未锚点证据权重 - Triggered by: low_conf_percent 22.43 above 15,warning,demote_unanchored
2025-10-17T17:13:45.989077,mitigation,扩容服务节点 - Triggered by: p95_latency 214.64 above 180,info,scale_up
2025-10-17T17:13:45.989082,mitigation,增加缓存比例 - Triggered by: p95_latency 214.64 above 180,info,cache_more
2025-10-17T17:13:45.989088,mitigation,优化模型配置 - Triggered by: cost_per_request 1.49 above 1.3,info,optimize_models
2025-10-17T17:13:45.989094,mitigation,限制非关键请求 - Triggered by: cost_per_request 1.49 above 1.3,info,throttle_non_critical
