东方财富网千股千评数据
==================================================
序号	代码	名称	操作	最新价	涨跌幅	换手率	市盈率	主力成本	机构参与度
--------------------------------------------------
1	000001	平安银行	诊股 数据 股吧 研报	11.72	-0.17%	0.42%	4.57	11.682229707954	46.21%
2	000002	万  科Ａ	诊股 数据 股吧 研报	6.59	0.92%	1.21%	-3.29	6.54187049503	48.91%
3	000004	*ST国华	诊股 数据 股吧 研报	10.37	0.68%	4.72%	-16.40	10.221593701739	24.96%
4	000006	深振业Ａ	诊股 数据 股吧 研报	7.64	3.66%	4.04%	-72.66	7.471244091559	38.98%
5	000007	全新好	诊股 数据 股吧 研报	7.5	1.08%	1.94%	383.43	7.407563094733	21.96%
6	000008	神州高铁	诊股 数据 股吧 研报	2.82	1.08%	1.77%	-40.33	2.794120032767	37.34%
7	000009	中国宝安	诊股 数据 股吧 研报	10.3	5.53%	3.73%	54.49	10.114053944883	39.21%
8	000010	美丽生态	诊股 数据 股吧 研报	4.73	5.35%	5.34%	-55.89	4.605100174095	35.73%
9	000011	深物业A	诊股 数据 股吧 研报	9.03	1.80%	1.39%	186.50	8.9146244325	17.76%
10	000012	南  玻Ａ	诊股 数据 股吧 研报	4.8	1.91%	0.95%	98.88	4.748973393953	27.63%
11	000014	沙河股份	诊股 数据 股吧 研报	13.99	3.17%	3.97%	-89.30	13.734103675049	24.72%
12	000016	深康佳Ａ	诊股 数据 股吧 研报	5.49	1.10%	3.71%	-17.24	5.405031557238	32.77%
13	000017	深中华A	诊股 数据 股吧 研报	6.78	1.50%	7.11%	125.81	6.694036398773	22.62%
14	000019	深粮控股	诊股 数据 股吧 研报	6.81	-0.29%	2.40%	22.30	6.768912877463	19.89%
15	000020	深华发Ａ	诊股 数据 股吧 研报	13.7	1.41%	1.73%	135.26	13.580942486548	8.46%
16	000021	深科技	诊股 数据 股吧 研报	20.38	5.05%	4.02%	35.35	19.974623370576	37.28%
17	000025	特  力Ａ	诊股 数据 股吧 研报	18.4	4.25%	6.25%	47.20	18.186844440444	32.13%
18	000026	飞亚达	诊股 数据 股吧 研报	16.71	3.08%	2.29%	41.12	16.486915172245	28.26%
19	000027	深圳能源	诊股 数据 股吧 研报	6.5	1.25%	0.57%	9.07	6.438410257379	32.35%
20	000028	国药一致	诊股 数据 股吧 研报	25.51	0.12%	0.76%	10.66	25.468407226841	29.05%
... 还有 30 条数据未显示
