M,efConstruction,efSearch,avg_query_time_ms,recall_at_k
16,100,64,0.014383792877197266,0.925
16,100,128,0.026962757110595703,0.985
16,100,256,0.05513191223144531,0.999
16,200,64,0.025341510772705078,0.93
16,200,128,0.05670309066772461,0.989
16,200,256,0.04331350326538086,0.999
32,100,64,0.03602266311645508,0.975
32,100,128,0.06181955337524415,0.998
32,100,256,0.05115509033203125,1.0
32,200,64,0.06470203399658203,0.978
32,200,128,0.07247686386108398,0.998
32,200,256,0.04957914352416992,1.0
